ISO,internet,year,elec,capital,hc,water,contract,rail,ed,land,truck
LBR,0.036300026,1994,0.00737755,8.755318798439332e-09,0.000465885,-0.105130507,0.023158514,0.004822276,-0.020073567,-0.003326046,0.02334874
GEO,0.009975126,1994,0.06197174,7.452119543830947e-09,0.000812335,-0.056057689,0.014409027,0.064243888,0.005147062,0.00204354,0.064446157
AUT,0.00690226,1994,0.03828062,2.440701926940131e-08,0.001111326,-0.087932028,0.05002539,0.027819362,-0.012041083,-0.001006105,0.046912968
CZE,0.006832463,1994,0.044177924,1.7813055934380358e-08,0.00099886,-0.081541573,0.043798335,0.038636558,-0.018517086,-0.000378999,0.051865578
SWE,0.005494716,1994,0.036647256,2.657287955827191e-08,0.001199989,-0.089087031,0.0515769,0.028896949,-0.013802006,-0.000496565,0.043706992
UKR,0.005447371,1994,0.064677958,6.684721365730611e-09,0.000879171,-0.07058955,0.014557607,0.057269271,-0.006954968,0.002482075,0.060472539
POL,0.005049061,1994,0.040052528,1.2392927572660156e-08,0.000903056,-0.084721233,0.042140579,0.0357744,-0.028303158,0.000172719,0.051157653
SVK,0.004627963,1994,0.048790881,1.5572173567512238e-08,0.000938216,-0.075706151,0.033120072,0.041525845,-0.02242496,-0.000291766,0.053847882
ITA,0.004153335,1994,0.029250249,2.0581456245717876e-08,0.000984175,-0.087441922,0.052421097,0.022279662,-0.025957388,-0.001352512,0.0446737
DNK,0.003648105,1994,0.020482286,2.1321973348268077e-08,0.001028622,-0.08563762,0.043443769,0.019879953,-0.02074309,-0.000509679,0.058608263
SVN,0.003487859,1994,0.031762085,1.963299348289384e-08,0.00102091,-0.08919005,0.052827468,0.023598745,-0.026438145,-0.000964496,0.0467888
FIN,0.00334798,1994,0.052504715,2.5624208167781023e-08,0.001144565,-0.079883841,0.039767869,0.037045939,-0.024249868,-0.000340267,0.047208221
HRV,0.003328879,1994,0.029305187,1.0235871197350129e-08,0.000746706,-0.080607079,0.036279996,0.021202645,-0.039083835,-0.00150306,0.043266135
KAZ,0.003027414,1994,0.080346842,8.781526481649367e-09,0.00085599,-0.050129286,0.011836488,0.048778296,-0.014443906,0.00479699,0.064608706
DEU,0.002676395,1994,0.032079403,2.7473079709718758e-08,0.001196114,-0.085206403,0.054778818,0.024949084,-0.008345196,-0.000936118,0.044638855
BIH,0.001977449,1994,0.02903037,9.808726095755378e-09,0.00071498,-0.092044846,0.055195921,0.016863367,-0.043656702,-0.001202753,0.045515816
ROU,0.001326484,1994,0.037200524,8.513378209705637e-09,0.00073878,-0.078571048,0.03356055,0.030965912,-0.034079971,-0.000585964,0.052163082
KGZ,0.000825949,1994,0.062014546,-3.18E-09,0.000451609,-0.054562291,0.018980316,0.040597249,-0.017029401,0.003469805,0.084280699
LAO,0.000446043,1994,0.019761751,-6.79E-09,0.000336136,-0.100757819,0.053401995,0.013114561,-0.020061717,-0.000277233,0.047098289
BRA,0.00030072,1994,0.042947364,8.529215807247054e-09,0.000789093,-0.070762822,0.031652351,0.031627186,-0.036397492,0.00159981,0.055501362
SRB,5.523020324857846e-19,1994,-4.56E-19,1.2684371907612458e-13,5.699641556121825e-19,9.551283026005868e-19,-2.30E-18,-2.35E-18,4.369271054648195e-18,4.853803374977901e-19,-1.05E-17
SWZ,2.6559257476855804e-19,1994,-2.37E-18,-3.89E-15,-4.60E-19,2.592379606290484e-18,1.4927172601271877e-18,1.1332410821442922e-18,6.8035324816178025e-18,-8.73E-19,-5.99E-18
NAM,-5.08E-19,1994,-1.23E-17,4.0246003543718516e-14,-4.06E-19,3.86800225415974e-18,3.669415576543874e-18,3.1423480185834797e-18,1.5102810625861862e-17,-2.57E-19,4.4790341496183215e-18
